source_key,description,units,observed_values,interpretation_status
correctTick:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
count_Reversals,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
count_Reversals:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
distance_To_Monitor,Viewing distance,m,1.0,Confirmed by supplied code setting 100e-2 and manuscript 100 cm.
distance_To_Monitor:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1.0,Retained as source text; do not infer operational meaning.
flanker_displacement,Source metadata field; definitive acquisition meaning not established.,unconfirmed,3.0,Retained as source text; do not infer operational meaning.
flanker_displacement:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,3.0,Retained as source text; do not infer operational meaning.
flanker_width,Source metadata field; definitive acquisition meaning not established.,unconfirmed,5.0,Retained as source text; do not infer operational meaning.
flanker_width:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,5.0,Retained as source text; do not infer operational meaning.
fs,Saved frequency parameter,source units,31.5 | 47.25 | 63.0 | 78.75 | 81.9 | 88.19999999999999 | 94.5,Trial source_col_15 / 31.5 supplies analyzed frequency.
fs:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,100 | 167.0 | 260,Retained as source text; do not infer operational meaning.
gamma,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
gamma:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
human_LR,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
human_LR:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
limit_Trial_Run,Source metadata field; definitive acquisition meaning not established.,unconfirmed,100,Retained as source text; do not infer operational meaning.
limit_Trial_Run:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,100,Retained as source text; do not infer operational meaning.
logUNIT_DW,Saved logarithmic downward step parameter,log units; base unconfirmed,0.30294,Value preserved; do not infer log base.
logUNIT_DW:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.25245 | 0.30294,Retained as source text; do not infer operational meaning.
logUNIT_UP,Saved logarithmic upward step parameter,log units; base unconfirmed,0.36,Value preserved; do not infer log base.
logUNIT_UP:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.3 | 0.36,Retained as source text; do not infer operational meaning.
max_intensity,Maximum source display intensity,dimensionless,1.0,Source value; normalization uses 1.
max_intensity:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1.0,Retained as source text; do not infer operational meaning.
max_monitor_cdm2,Source maximum display luminance setting,cd/m^2,400 | 500,Field name; not a calibration measurement for each trial.
max_monitor_cdm2:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,400,Retained as source text; do not infer operational meaning.
nDW,Saved down-rule setting,count,4,Metadata may contain initialization values; compare acquisition logic.
nDW:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,4,Retained as source text; do not infer operational meaning.
nUP,Saved up-rule setting,count,1,Metadata may contain initialization values; compare acquisition logic.
nUP:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1,Retained as source text; do not infer operational meaning.
number_trials,Source metadata field; definitive acquisition meaning not established.,unconfirmed,50 | 80,Retained as source text; do not infer operational meaning.
number_trials:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,100,Retained as source text; do not infer operational meaning.
ph,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
ph:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
pixel_metre_ratio,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.00023289062499999997,Retained as source text; do not infer operational meaning.
posY,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
posY:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
preReversalStepDW,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.36,Retained as source text; do not infer operational meaning.
preReversalStepDW:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.3 | 0.35 | 0.36,Retained as source text; do not infer operational meaning.
probe_LR,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
probe_LR:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0,Retained as source text; do not infer operational meaning.
probe_displacement_dx,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.4 | 0.42,Retained as source text; do not infer operational meaning.
probe_displacement_dx:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.48,Retained as source text; do not infer operational meaning.
probe_displacement_dy,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.2,Retained as source text; do not infer operational meaning.
probe_displacement_dy:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.2,Retained as source text; do not infer operational meaning.
probe_pos (m),Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
probe_pos:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
rateDW,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.5,Retained as source text; do not infer operational meaning.
rateDW:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.5,Retained as source text; do not infer operational meaning.
rateUP,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.5,Retained as source text; do not infer operational meaning.
rateUP:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.5,Retained as source text; do not infer operational meaning.
reversalN,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
reversalN:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
reversePOINT,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1,Retained as source text; do not infer operational meaning.
reversePOINT:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1,Retained as source text; do not infer operational meaning.
speed,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
speed:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
start_weber_Contrast,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.15 | 0.4 | 1.0,Retained as source text; do not infer operational meaning.
start_weber_Contrast:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.15 | 0.32,Retained as source text; do not infer operational meaning.
stepDWUP,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.005,Retained as source text; do not infer operational meaning.
stepDWUP:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.005,Retained as source text; do not infer operational meaning.
terminationINDEX,Source metadata field; definitive acquisition meaning not established.,unconfirmed,9,Retained as source text; do not infer operational meaning.
terminationINDEX:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,9,Retained as source text; do not infer operational meaning.
text,Source metadata field; definitive acquisition meaning not established.,unconfirmed,-1,Retained as source text; do not infer operational meaning.
text:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,-1,Retained as source text; do not infer operational meaning.
theta,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
theta:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.0,Retained as source text; do not infer operational meaning.
time_Stimulus,Saved stimulus-timing setting,unconfirmed,250,250 occurs; reconcile with manuscript 300 ms and acquisition code.
time_Stimulus:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,250,Retained as source text; do not infer operational meaning.
trialPOINT,Source metadata field; definitive acquisition meaning not established.,unconfirmed,5 | 6 | 7 | 8 | 9,Retained as source text; do not infer operational meaning.
trialPOINT:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,5 | 6 | 7,Retained as source text; do not infer operational meaning.
width,Source metadata field; definitive acquisition meaning not established.,unconfirmed,374.94805047229414,Retained as source text; do not infer operational meaning.
width:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,665.8272745893497,Retained as source text; do not infer operational meaning.
win_widthx:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.33638,Retained as source text; do not infer operational meaning.
win_widthx_Meter,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.5962,Retained as source text; do not infer operational meaning.
win_widthx_Pixel,Source metadata field; definitive acquisition meaning not established.,unconfirmed,1440,Retained as source text; do not infer operational meaning.
win_widthy:,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.2303,Retained as source text; do not infer operational meaning.
win_widthy_Meter,Source metadata field; definitive acquisition meaning not established.,unconfirmed,0.3353,Retained as source text; do not infer operational meaning.
win_widthy_Pixel,Source metadata field; definitive acquisition meaning not established.,unconfirmed,2560,Retained as source text; do not infer operational meaning.
